EDUC_LEVEL,FAM_NO,AREA,WT_CROP,WT_IR_YN,WT_WA_CN_YN,WT_WA_RC,WT_GW,WT_PS,WT_SY_YN,WT_CR_YL_KG,WT_VL_CC,WT_SM_ST,WT_CP_NI_MN,SM_CROP,SM_IR_YN,SM_IR_WA_Y,SM_IR_TC,SM_GW,SM_PS,SM_CR_YL_KG,SM_CP_NI_MN,SM_VL_CC,SM_SM_ST,SM_RAIN_YN,CSM_AGR_YN,FL_USE,CR_RT_YN,SOIL_PROB,CA_YN,CA_CNS,CA_US_YN,CA_SS,CA_US_DT,CA_CC_VUL,CA_CC_RISK,CA_CC_ADAP,CA_CC_IMP,CA_CC_SS,NDVI_CV,PRECIPITAT,TEMPERATUR
no-schooling,8,10,Wheat,yes,no,Medium,75,Powdery Mildew (Disease),No,3200,Medium vulnerable,Medium,18000,Sorghum,Yes,Based on crop water need,No,75,PUNAISE,4000,21600,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,Not profitable,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,34.32172605,184.5672459,1.485008447
secondary,3,3,Barley,yes,yes,Medium,140,Henbit (Weed),Yes,2500,Medium vulnerable,Medium,15000,Maize,Yes,Based on crop water need,Yes,140,PUNAISE,2000,13000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Often,highly vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,50.45023586,109.4305739,1.725259448
no-schooling,5,2,Lentil,yes,yes,Medium,99,Wild Oats (Weed),No,800,Medium vulnerable,Dry,7280,Maize,Yes,Based on crop water need,Yes,99,Pourpier,3900,19500,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,35.86442989,94.71854808,2.539666732
primary,3,1,Wheat,yes,yes,Medium,98,Leaf miners (Pest),No,700,Medium vulnerable,Medium,5666,Maize,Yes,Based on experience,Yes,99,PYRALE,768,5600,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,36.97746133,114.2476417,1.883206329
secondary,3,3,Rye,yes,yes,Medium,130,Henbit (Weed),Yes,3000,Medium vulnerable,Medium,11000,Maize,Yes,Based on crop water need,Yes,130,PUNAISE,2000,13000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Often,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,50.64886641,112.4108174,1.660536973
secondary,1,3,Wheat,yes,yes,Medium,89,Wild Oats (Weed),No,1000,Medium vulnerable,Dry,39200,Lyzerne,Yes,Based on crop water need,No,89,Phytophthora,30000,1260000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,Through apps,21.32882568,94.71854808,2.539666732
secondary,3,1,Barley,yes,yes,Medium,92,Wild Oats (Weed),No,5000,Medium vulnerable,Dry,14700,Maize,Yes,Based on crop water need,Yes,92,Pourpier,7000,36400,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,Through apps,47.40747494,96.81943064,2.511587626
primary,4,3,Wheat,yes,yes,Medium,100,Wild Oats (Weed),No,100,Medium vulnerable,Dry,25760,Maize,Yes,Based on crop water need,Yes,100,Pourpier,4000,19600,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,47.40747494,96.81943064,2.511587626
primary,4,2,Wheat,yes,yes,Low,100,Blight (Disease),No,500,Medium vulnerable,Low,3400,Maize,Yes,Based on experience,Yes,100,PYRALE,650,650,Medium vulnerable,Medium,No,Yes,Subsistence/domestic use,No,Hardpan,No,Lack of knowledge,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,15.63469476,128.4977563,2.70372955
secondary,1,2,Wheat,yes,yes,Medium,105,Wild Oats (Weed),No,900,Highly vulnerable,Dry,39000,Lyzerne,Yes,Based on crop water need,Yes,105,Phytophthora,20000,580000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Summer,Sometimes,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,Through apps,11.11484226,232.4418614,2.700808762
secondary,3,15,Wheat,yes,yes,Medium,100,Wild Oats (Weed),No,800,Highly vulnerable,Dry,38000,Maize,Yes,Based on crop water need,Yes,100,Pourpier,5000,34000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,Through apps,8.058640295,232.4418614,2.700808762
primary,4,1,Wheat,yes,yes,Low,100,Blight (Disease),No,650,Medium vulnerable,Medium,3000,Maize,Yes,Based on crop water need,Yes,100,PYRALE,500,4300,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Hardpan,No,Lack of machinery,Yes,Winter,Never,highly vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,14.67231731,128.4977563,2.70372955
primary,5,15,Wheat,yes,yes,Medium,106,Wild Oats (Weed),No,90,Highly vulnerable,Dry,24000,Maize,Yes,Based on crop water need,Yes,106,Pourpier,2000,18000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,7.780687802,232.4418614,2.700808762
no-schooling,8,1,Wheat,yes,no,Medium,100,Powdery Mildew (Disease),No,1500,Medium vulnerable,Medium,12000,POMME DE TERRE,Yes,Based on crop water need,No,100,ACARIENS,4300,40000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,24.32466482,70.41633715,2.552809452
primary,3,1,Wheat,yes,yes,Medium,100,Armyworms (Pest),No,500,Medium vulnerable,Medium,5400,Maize,Yes,Based on experience,Yes,100,PYRALE,760,4500,Highly vulnerable,Dry,No,Maybe,Selling in the market,Yes,Hardpan,No,Lack of machinery,Maybe,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,14.67231731,128.4977563,2.70372955
primary,2,15,Barley,yes,yes,Medium,99,Wild Oats (Weed),No,2000,Highly vulnerable,Dry,8000,Lyzerne,Yes,Based on crop water need,Yes,99,Phytophthora,18000,560000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No idea,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,17.15202954,232.4418614,2.700808762
secondary,4,10,Rye,yes,yes,Medium,85,Chickweed (Weed),Yes,1900,Medium vulnerable,Medium,12000,Sorghum,Yes,Based on crop water need,Yes,85,fasoriose,1700,9500,Medium vulnerable,Medium,Yes (Rarely),Maybe,Subsistence/domestic use,Yes,Nothing,Yes(Rarely),Lack of machinery,Yes,Winter,Sometimes,Medium vulnerable,Drought,Crop diversification,Increased pests/diseases,Through apps,26.13375698,92.52450898,2.182101505
primary,8,1,Barley,yes,no,Medium,90,Powdery Mildew (Disease),No,2300,Medium vulnerable,Medium,12000,Maize,Yes,Based on crop water need,No,90,PUNAISE,3000,19000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,24.34741099,70.41633715,2.552809452
primary,3,15,Wheat,yes,yes,Medium,98,Wild Oats (Weed),No,800,Highly vulnerable,Dry,24000,Maize,Yes,Based on crop water need,Yes,98,Chenopode blanc,2800,18000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,14.00251307,232.4418614,2.700808762
primary,3,1,Wheat,yes,yes,Medium,100,Wild Oats (Weed),No,650,Medium vulnerable,Dry,3400,Maize,Yes,Based on experience,Yes,100,PUNAISE,879,5400,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,15.07541959,128.4977563,2.70372955
primary,6,4,Lentil,yes,yes,Medium,88,Rust (Disease),Yes,1700,Medium vulnerable,Medium,7500,tomate,Yes,Based on crop water need,Yes,88,mildiou,1600,5000,Medium vulnerable,Medium,Yes (Sometimes),Maybe,Subsistence/domestic use,Yes,Nothing,No,Lack of machinery,Maybe,Summer,Sometimes,Medium vulnerable,Drought,Crop diversification,Physical damage,Through apps,29.90942163,92.52450898,2.182101505
secondary,3,2,Wheat,yes,yes,Impossible,150,Henbit (Weed),Yes,4000,Medium vulnerable,Dry,23000,Maize,Yes,Based on crop water need,Yes,150,MILDIOU,3000,15000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,22.17673991,83.51192758,2.615504249
primary,3,1,Wheat,yes,yes,Impossible,100,Armyworms (Pest),No,500,Low vulnerable,Low,3500,Maize,Yes,Based on experience,Yes,100,PYRALE,670,3400,Highly vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,Yes,Winter,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,From mosque,20.84543784,128.4977563,2.70372955
secondary,2,15,Barley,yes,yes,Impossible,97,Wild Oats (Weed),No,4000,Highly vulnerable,Dry,13000,Maize,Yes,Based on crop water need,Yes,97,Pourpier,6000,35000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Winter,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,Through apps,17.129509,232.4418614,2.700808762
primary,5,1,Wheat,yes,yes,Impossible,99,Rust (Disease),No,569,Medium vulnerable,Dry,3400,Maize,Yes,Based on experience,Yes,99,PYRALE,650,4500,Highly vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Winter,Never,highly vulnerable,Drought,Improving irrigation practices,Physical damage,From mosque,18.25161297,128.4977563,2.70372955
no-schooling,8,1,Wheat,yes,no,Impossible,110,Powdery Mildew (Disease),No,1400,Medium vulnerable,Dry,13000,OIGNON,Yes,Based on crop water need,No,110,THRIPS,30000,63000,Highly vulnerable,Medium,No,No,Selling in the market,Yes,Hardpan,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,17.91507776,70.41633715,2.552809452
secondary,5,20,Wheat,yes,yes,Impossible,103,Wild Oats (Weed),No,900,Highly vulnerable,Dry,38000,Lyzerne,Yes,Based on crop water need,Yes,103,Phytophthora,28000,11000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Winter,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,Through apps,14.75631342,227.7191088,2.676510918
primary,3,1,Wheat,yes,yes,Impossible,97,Powdery Mildew (Disease),No,877,Medium vulnerable,Medium,3000,Maize,Yes,Based on qualitative guess,Yes,97,PUNAISE,670,5000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Salinity,No,Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,18.25161297,128.4977563,2.70372955
primary,4,15,Wheat,yes,yes,Low,130,Henbit (Weed),Yes,3000,Medium vulnerable,Medium,20000,Maize,Yes,Based on crop water need,Yes,130,PUCERON,2500,15000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Often,highly vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,27.14817446,87.58404668,1.922502682
secondary,4,1,Wheat,yes,yes,Medium,90,Chickweed (Weed),Yes,1900,Medium vulnerable,Medium,12000,Maize,Yes,Based on crop water need,Yes,90,brulure,1800,9500,Medium vulnerable,Medium,Yes (Rarely),Yes,Subsistence/domestic use,Yes,Hardpan,Yes(Sometimes),Lack of machinery,Yes,Winter,Sometimes,Medium vulnerable,Drought,Crop diversification,Increased pests/diseases,Through apps,28.43391259,70.66089508,2.50435219
primary,8,1,Wheat,yes,no,Medium,90,Powdery Mildew (Disease),No,1800,Highly vulnerable,Medium,14000,POMME DE TERRE,Yes,Based on crop water need,No,90,PYRALE,35000,50000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Hardpan,No,Not profitable,No idea,Winter,Never,highly vulnerable,Drought,Adjusting sowing date,Physical damage,Radio,20.28394228,70.41633715,2.552809452
primary,1,20,Wheat,yes,yes,Impossible,107,Wild Oats (Weed),No,870,Highly vulnerable,Dry,24000,Lyzerne,Yes,Based on crop water need,Yes,107,Phytophthora,19000,500000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No idea,Winter,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,6.331380916,227.7191088,2.676510918
primary,5,1,Wheat,yes,yes,Medium,89,Chickweed (Weed),Yes,1800,Medium vulnerable,Medium,5500,Maize,Yes,Based on crop water need,Yes,89,punaise,1600,5000,Medium vulnerable,Medium,Yes (Rarely),Maybe,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,Yes,Winter,Sometimes,Medium vulnerable,Drought,Crop diversification,Increased pests/diseases,Through apps,26.46431573,70.66089508,2.50435219
primary,3,1,Wheat,yes,yes,Medium,99,Leaf miners (Pest),No,560,Low vulnerable,Medium,4555,Maize,Yes,Based on experience,Yes,99,PYRALE,760,4500,Highly vulnerable,Dry,No,No,Selling in the market,Yes,Hardpan,No,Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,From mosque,14.65436428,128.4977563,2.70372955
primary,5,3,Barley,yes,yes,Medium,87,Chickweed (Weed),No,1800,Medium vulnerable,Medium,6500,Maize,Yes,Based on crop water need,Yes,87,punaise,1600,5000,Medium vulnerable,Medium,Yes (Rarely),Maybe,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,Yes,Winter,Sometimes,Medium vulnerable,Drought,Crop diversification,Increased pests/diseases,Through apps,32.05052743,69.77758902,2.480413888
secondary,3,2,Wheat,yes,yes,Medium,150,Henbit (Weed),Yes,5000,Medium vulnerable,Medium,25000,Sorghum,Yes,Based on crop water need,Yes,150,SUCRIER,3000,1200,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,37.09001133,150.4747842,1.350299998
no-schooling,3,1,Wheat,yes,yes,Impossible,89,Powdery Mildew (Disease),No,766,Medium vulnerable,Low,4300,Maize,Yes,Based on experience,Yes,89,PUNAISE,600,3400,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Hardpan,No,Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,16.41083386,128.4977563,2.70372955
primary,3,20,Wheat,yes,yes,Impossible,102,Wild Oats (Weed),No,80,Highly vulnerable,Dry,24000,Lyzerne,Yes,Based on crop water need,Yes,102,Phytophthora,19000,500000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Winter,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,6.863152958,227.7191088,2.676510918
secondary,3,15,Wheat,yes,yes,Medium,130,Henbit (Weed),Yes,4000,Medium vulnerable,Medium,20000,Maize,Yes,Based on crop water need,Yes,130,PUCERON,3000,15000,Medium vulnerable,Medium,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,45.22674708,87.83960489,1.993906593
secondary,2,15,Barley,yes,yes,Impossible,99,Wild Oats (Weed),No,4000,Highly vulnerable,Dry,13500,Maize,Yes,Based on crop water need,Yes,99,Pourpier,6000,34000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Winter,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,Through apps,11.1029698,227.7191088,2.676510918
secondary,3,10,Fababean,yes,yes,Medium,130,Henbit (Weed),Yes,1700,Medium vulnerable,Medium,13000,Maize,Yes,Based on crop water need,Yes,130,ACARIEN,3000,14000,Medium vulnerable,Medium,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Often,Medium vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,30.41268629,87.83960489,1.993906593
secondary,3,1,Wheat,yes,yes,Medium,100,Aphids (Pest),No,546,Low vulnerable,Low,3000,Maize,Yes,Based on experience,Yes,100,PYRALE,650,5400,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,16.41083386,128.4977563,2.70372955
secondary,3,20,Wheat,yes,yes,Impossible,103,Wild Oats (Weed),No,890,Highly vulnerable,Dry,37900,Maize,Yes,Based on crop water need,Yes,103,Chenopode blanc,5900,35000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Winter,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,Through apps,19.35456618,227.7191088,2.676510918
no-schooling,5,2,Barley,yes,yes,Medium,87,Chickweed (Weed),No,1700,Medium vulnerable,Medium,4500,Sorghum,Yes,Based on crop water need,Yes,87,sepetoroise,1500,4000,Medium vulnerable,Medium,Yes (Sometimes),No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No idea,Winter,Sometimes,Medium vulnerable,Drought,Crop diversification,Physical damage,TV,26.46431573,70.66089508,2.50435219
no-schooling,6,3,Wheat,yes,no,Medium,100,Powdery Mildew (Disease),No,1600,Medium vulnerable,Medium,13000,PETIT POIS,Yes,Based on crop water need,No,100,PYRALE,30000,450000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Hardpan,No,Not profitable,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,20.28394228,70.41633715,2.552809452
secondary,3,3,Rye,yes,yes,Medium,130,Henbit (Weed),Yes,3000,Medium vulnerable,Medium,11000,Maize,Yes,Based on crop water need,Yes,130,PYRALE,2000,13000,Medium vulnerable,Medium,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Increased pests/diseases,Radio,41.38058148,87.28272747,1.966090898
primary,3,1,Wheat,yes,yes,Medium,99,Blight (Disease),No,560,Medium vulnerable,Low,5400,Maize,Yes,Based on experience,Yes,99,PYRALE,548,4300,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Hardpan,No,Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Wilting,From mosque,12.26654766,128.4977563,2.70372955
no-schooling,1,10,Barley,yes,yes,Impossible,98,Wild Oats (Weed),No,2000,Highly vulnerable,Dry,8000,Lyzerne,Yes,Based on crop water need,Yes,98,Phytophthora,18000,499000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No idea,Winter,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,6.863152958,227.7191088,2.676510918
primary,4,15,Wheat,yes,yes,Medium,130,Henbit (Weed),Yes,4000,Medium vulnerable,Medium,20000,Maize,Yes,Based on crop water need,Yes,130,PUNAISE,2000,13000,Medium vulnerable,Medium,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,46.07789512,87.28272747,1.966090898
primary,6,2,Wheat,yes,yes,Medium,88,Chickweed (Weed),No,1800,Medium vulnerable,Medium,5000,Sorghum,Yes,Based on experience,Yes,88,fasoriose,1400,4500,Medium vulnerable,Medium,Yes (Rarely),Maybe,Subsistence/domestic use,Yes,Hardpan,Yes(Sometimes),Lack of machinery,Maybe,Winter,Sometimes,Medium vulnerable,Drought,Crop diversification,Physical damage,Through apps,15.33290124,81.20680236,2.635316754
primary,5,1,Wheat,yes,yes,Medium,89,Rust (Disease),No,567,Medium vulnerable,Medium,4000,Maize,Yes,Based on experience,Yes,89,PYRALE,670,5000,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,From mosque,15.78682851,128.4977563,2.70372955
primary,3,15,Wheat,yes,yes,Impossible,95,Wild Oats (Weed),No,90,Highly vulnerable,Dry,24000,Maize,Yes,Based on crop water need,Yes,95,Pourpier,2000,17900,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Winter,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,15.10889303,227.7191088,2.676510918
secondary,4,10,Wheat,yes,yes,Medium,130,Henbit (Weed),Yes,3000,Medium vulnerable,Medium,20000,Maize,Yes,Based on crop water need,Yes,130,900,2500,14000,Medium vulnerable,Medium,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,42.10724692,87.28272747,1.966090898
no-schooling,7,10,Barley,yes,yes,Medium,89,Chickweed (Weed),No,1700,Medium vulnerable,Medium,6000,Maize,Yes,Based on experience,Yes,89,pyrale,1600,5500,Medium vulnerable,Medium,Yes (Sometimes),Maybe,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,Maybe,Winter,Sometimes,Medium vulnerable,Drought,Crop diversification,Physical damage,TV,15.09919133,81.20680236,2.635316754
primary,3,1,Wheat,yes,yes,Impossible,99,Cutworms (Pest),No,700,Highly vulnerable,Medium,4000,Maize,Yes,Based on experience,Yes,99,PYRALE,700,5400,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Salinity,No,Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,12.52428241,128.4977563,2.70372955
primary,5,1,Wheat,yes,yes,Impossible,100,Wild Oats (Weed),No,90,Highly vulnerable,Dry,24000,Lyzerne,Yes,Based on crop water need,Yes,100,Phytophthora,19000,470000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No idea,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,4.300506002,267.3809939,2.751069414
primary,6,1,Wheat,yes,no,Medium,90,Powdery Mildew (Disease),No,1600,Medium vulnerable,Medium,14000,Sorghum,Yes,Based on crop water need,No,90,PUNAISE,4000,19000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,16.64715915,70.41633715,2.552809452
primary,3,3,Wheat,yes,yes,Medium,90,Chickweed (Weed),No,1700,Medium vulnerable,Medium,6500,Sorghum,Yes,Based on experience,Yes,90,fasoriose,1600,5000,Medium vulnerable,Medium,Yes (Sometimes),Yes,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,Maybe,Winter,Sometimes,Medium vulnerable,Drought,Crop diversification,Increased pests/diseases,Through apps,19.23120119,81.20680236,2.635316754
secondary,4,15,Wheat,yes,yes,Medium,130,Henbit (Weed),Yes,4000,Medium vulnerable,Medium,20000,Sorghum,Yes,Based on crop water need,Yes,130,FASORIOSE,3000,10000,Medium vulnerable,Medium,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,43.5825817,87.28272747,1.966090898
primary,6,10,Barley,yes,yes,Medium,87,Chickweed (Weed),No,1800,Medium vulnerable,Medium,6000,Sorghum,Yes,Based on crop water need,Yes,87,sepetoroise,1600,4500,Medium vulnerable,Medium,Yes (Rarely),Maybe,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,Maybe,Winter,Sometimes,Medium vulnerable,Drought,Crop diversification,Physical damage,Through apps,22.7444055,81.20680236,2.635316754
secondary,2,2,Barley,yes,yes,Impossible,99,Wild Oats (Weed),No,3900,Highly vulnerable,Dry,13000,Maize,Yes,Based on crop water need,Yes,99,Chenopode blanc,5900,34000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Winter,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,4.300506002,267.3809939,2.751069414
primary,4,1,Wheat,yes,yes,Medium,99,Cutworms (Pest),No,980,Medium vulnerable,Medium,5000,Maize,Yes,Based on experience,Yes,99,PYRALE,650,4500,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,From mosque,12.52428241,128.4977563,2.70372955
no-schooling,8,3,Wheat,yes,no,Medium,70,Powdery Mildew (Disease),No,1700,Highly vulnerable,Dry,13000,Maize,Yes,Based on crop water need,No,70,PUNAISE,4000,18000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Low vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,16.64715915,70.41633715,2.552809452
secondary,4,1,Wheat,yes,yes,Impossible,100,Wild Oats (Weed),No,900,Highly vulnerable,Dry,37000,Lyzerne,Yes,Based on crop water need,Yes,100,Phytophthora,28000,11000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Winter,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,Through apps,4.300506002,267.3809939,2.751069414
primary,4,4,Wheat,yes,yes,Medium,89,Chickweed (Weed),Yes,1900,Medium vulnerable,Medium,7000,Maize,Yes,Based on crop water need,Yes,89,brulure,1700,6000,Medium vulnerable,Medium,Yes (Sometimes),Maybe,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,Maybe,Winter,Sometimes,Medium vulnerable,Drought,Crop diversification,Increased pests/diseases,Through apps,14.98205465,90.99653393,2.215181625
secondary,3,1,Wheat,yes,yes,Medium,120,Henbit (Weed),Yes,4000,Medium vulnerable,Medium,20000,Maize,Yes,Based on crop water need,Yes,120,PUNAISE,2000,13000,Medium vulnerable,Medium,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,18.64309176,86.12922352,1.971845583
